year;month;rainfall
2005;Oct;17.4
2005;Nov;87.6
2005;Dec;98.4
2006;Jan;300
2006;Feb;217
2006;Mar;123.6
2006;Apr;95.4
2006;May;13
2006;Aug;16.2
2006;Sep;6.4
2006;Oct;80.2
2006;Nov;86.4
2006;Dec;187
2007;Jan;42.2
2007;Feb;85.6
2007;Mar;32
2007;Apr;81
2007;Jun;17.6
2007;Jul;3.2
2007;Aug;1
2007;Sep;21.6
2007;Oct;40.4
2007;Nov;56
2007;Dec;117.6
2008;Jan;174.4
2008;Feb;22.2
2008;Mar;96
2008;Apr;51.2
2008;May;13.8
2008;Jun;15.2
2008;Jul;0.4
2008;Aug;2
2008;Sep;21.4
2008;Oct;48
2008;Nov;87.6
2008;Dec;155.2
2009;Jan;168.2
2009;Feb;118.8
2009;Mar;68.8
2009;Apr;6.8
2009;May;32
2009;Jun;7.6
2009;Jul;0.8
2010;Feb;97.8
2010;Mar;97.8
2010;Apr;140.4
2010;May;15.6
2010;Jun;10
2010;Jul;0.6
2010;Sep;4.2
2010;Oct;64.4
2010;Nov;50.4
2010;Dec;90.8
2011;Jan;201
2011;Feb;37.4
2011;Mar;87
2011;Apr;106.2
2011;May;1.6
2011;Jun;4.2
2011;Jul;10.6
2011;Aug;11.4
2011;Sep;48.6
2011;Oct;90.6
2011;Nov;55
2011;Dec;181.4
2012;Jan;187.8
2012;Feb;156.2
2012;Mar;56.4
2012;Apr;32.6
2012;May;0.2
2012;Jun;0.4
2012;Jul;0.2
2012;Aug;0.8
2012;Sep;191.4
2012;Oct;101.8
2012;Dec;198.8
2013;Jan;244.8
2013;Feb;160
2013;Mar;127.2
2013;Apr;108
2013;May;53.2
2013;Jun;0.4
2013;Jul;3.2
2013;Aug;10
2013;Sep;19.6
2013;Oct;71.2
2013;Nov;72.6
2013;Dec;137.8
2014;Jan;55.6
2014;Feb;101.6
2014;Mar;303.4
2014;Apr;23.8
2014;May;16.8
2014;Jun;0.4
2014;Jul;1.2
2014;Aug;9.4
2014;Sep;8.6
2014;Oct;23.2
2014;Nov;141.2
2014;Dec;150.8
2015;Jan;131.6
2015;Feb;125
2015;Mar;74.2
2015;Apr;63.8
2015;May;30.2
2015;Jul;5.2
2015;Aug;2.8
2015;Sep;37.8
2015;Oct;32
2015;Nov;27.4
2015;Dec;112.4
2016;Jan;75.4
2016;Feb;84.8
2016;Mar;89.2
2016;Apr;19.8
2016;May;18
2016;Jun;3.4
2016;Jul;21.2
2016;Aug;6
2016;Sep;1.8
2016;Oct;32.8
2016;Nov;136.6
2016;Dec;198.6
2017;Jan;144.2
2017;Feb;152.2
2017;Mar;58
2017;Apr;28.8
2017;May;49.2
2017;Jun;0.2
2017;Jul;4
2017;Aug;0.4
2017;Sep;16.6
2017;Oct;49.4
2017;Nov;122.6
2017;Dec;146.2
2018;Jan;45.6
2018;Feb;137.6
2018;Mar;75.6
2018;Apr;125.2
2018;May;26
2018;Jul;6.6
2018;Aug;32.6
2018;Sep;24.4
2018;Oct;37.2
2018;Nov;36.6
2018;Dec;78.6
2019;Jan;125.8
2019;Feb;44
2019;Mar;52.2
2019;Apr;65.8
2019;May;2.4
2019;Jun;4.4
2019;Aug;3.6
2019;Sep;34.6
2019;Oct;60.4
2019;Nov;82.6
2019;Dec;108.6
